division_alias,party_number,votes,percent
00.87.12,17,0,0.0
00.87.12,10,1,2.439
00.87.12,25,5,12.195
00.87.12,12,0,0.0
00.87.12,20,0,0.0
00.87.12,26,0,0.0
00.87.12,16,0,0.0
00.87.12,21,0,0.0
00.87.12,23,0,0.0
00.87.12,3,0,0.0
00.87.12,27,0,0.0
00.87.12,41,9,21.951
00.87.12,5,9,21.951
00.87.12,36,2,4.878
00.87.12,9,5,12.195
00.87.12,6,0,0.0
00.87.12,8,2,4.878
00.87.12,4,8,19.512
00.87.13,17,3,0.321
00.87.13,10,12,1.282
00.87.13,25,102,10.897
00.87.13,12,2,0.214
00.87.13,20,0,0.0
00.87.13,26,0,0.0
00.87.13,16,4,0.427
00.87.13,21,1,0.107
00.87.13,23,2,0.214
00.87.13,3,2,0.214
00.87.13,27,1,0.107
00.87.13,41,66,7.051
00.87.13,5,82,8.761
00.87.13,36,76,8.12
00.87.13,9,225,24.038
00.87.13,6,3,0.321
00.87.13,8,4,0.427
00.87.13,4,351,37.5
00.87.14,17,0,0.0
00.87.14,10,14,1.016
00.87.14,25,156,11.321
00.87.14,12,0,0.0
00.87.14,20,1,0.073
00.87.14,26,0,0.0
00.87.14,16,5,0.363
00.87.14,21,0,0.0
00.87.14,23,3,0.218
00.87.14,3,0,0.0
00.87.14,27,2,0.145
00.87.14,41,56,4.064
00.87.14,5,156,11.321
00.87.14,36,70,5.08
00.87.14,9,287,20.827
00.87.14,6,2,0.145
00.87.14,8,18,1.306
00.87.14,4,608,44.122
00.87.15,17,3,0.285
00.87.15,10,13,1.235
00.87.15,25,110,10.446
00.87.15,12,1,0.095
00.87.15,20,2,0.19
00.87.15,26,1,0.095
00.87.15,16,4,0.38
00.87.15,21,0,0.0
00.87.15,23,4,0.38
00.87.15,3,1,0.095
00.87.15,27,1,0.095
00.87.15,41,47,4.463
00.87.15,5,122,11.586
00.87.15,36,66,6.268
00.87.15,9,189,17.949
00.87.15,6,6,0.57
00.87.15,8,6,0.57
00.87.15,4,477,45.299
00.87.16,17,1,0.125
00.87.16,10,8,1.003
00.87.16,25,87,10.902
00.87.16,12,0,0.0
00.87.16,20,2,0.251
00.87.16,26,0,0.0
00.87.16,16,6,0.752
00.87.16,21,0,0.0
00.87.16,23,3,0.376
00.87.16,3,1,0.125
00.87.16,27,6,0.752
00.87.16,41,39,4.887
00.87.16,5,110,13.784
00.87.16,36,51,6.391
00.87.16,9,124,15.539
00.87.16,6,4,0.501
00.87.16,8,7,0.877
00.87.16,4,349,43.734
00.87.17,17,0,0.0
00.87.17,10,0,0.0
00.87.17,25,9,8.654
00.87.17,12,0,0.0
00.87.17,20,0,0.0
00.87.17,26,0,0.0
00.87.17,16,0,0.0
00.87.17,21,0,0.0
00.87.17,23,0,0.0
00.87.17,3,0,0.0
00.87.17,27,0,0.0
00.87.17,41,3,2.885
00.87.17,5,5,4.808
00.87.17,36,12,11.538
00.87.17,9,28,26.923
00.87.17,6,1,0.962
00.87.17,8,1,0.962
00.87.17,4,45,43.269
00.87.18,17,0,0.0
00.87.18,10,24,1.792
00.87.18,25,122,9.111
00.87.18,12,2,0.149
00.87.18,20,0,0.0
00.87.18,26,1,0.075
00.87.18,16,5,0.373
00.87.18,21,0,0.0
00.87.18,23,1,0.075
00.87.18,3,0,0.0
00.87.18,27,2,0.149
00.87.18,41,154,11.501
00.87.18,5,218,16.281
00.87.18,36,70,5.228
00.87.18,9,291,21.733
00.87.18,6,2,0.149
00.87.18,8,26,1.942
00.87.18,4,421,31.441
00.87.19,17,0,0.0
00.87.19,10,17,2.249
00.87.19,25,94,12.434
00.87.19,12,0,0.0
00.87.19,20,0,0.0
00.87.19,26,0,0.0
00.87.19,16,9,1.19
00.87.19,21,0,0.0
00.87.19,23,0,0.0
00.87.19,3,1,0.132
00.87.19,27,1,0.132
00.87.19,41,74,9.788
00.87.19,5,197,26.058
00.87.19,36,12,1.587
00.87.19,9,114,15.079
00.87.19,6,2,0.265
00.87.19,8,6,0.794
00.87.19,4,229,30.291
00.87.20,17,1,0.152
00.87.20,10,7,1.067
00.87.20,25,49,7.47
00.87.20,12,0,0.0
00.87.20,20,1,0.152
00.87.20,26,1,0.152
00.87.20,16,5,0.762
00.87.20,21,0,0.0
00.87.20,23,0,0.0
00.87.20,3,1,0.152
00.87.20,27,10,1.524
00.87.20,41,97,14.787
00.87.20,5,155,23.628
00.87.20,36,28,4.268
00.87.20,9,81,12.348
00.87.20,6,2,0.305
00.87.20,8,25,3.811
00.87.20,4,193,29.421
00.87.21,17,0,0.0
00.87.21,10,0,0.0
00.87.21,25,33,14.474
00.87.21,12,0,0.0
00.87.21,20,0,0.0
00.87.21,26,0,0.0
00.87.21,16,1,0.439
00.87.21,21,0,0.0
00.87.21,23,1,0.439
00.87.21,3,0,0.0
00.87.21,27,0,0.0
00.87.21,41,22,9.649
00.87.21,5,18,7.895
00.87.21,36,19,8.333
00.87.21,9,46,20.175
00.87.21,6,0,0.0
00.87.21,8,1,0.439
00.87.21,4,87,38.158
00.87.22,17,0,0.0
00.87.22,10,2,1.923
00.87.22,25,3,2.885
00.87.22,12,0,0.0
00.87.22,20,0,0.0
00.87.22,26,0,0.0
00.87.22,16,2,1.923
00.87.22,21,0,0.0
00.87.22,23,0,0.0
00.87.22,3,1,0.962
00.87.22,27,0,0.0
00.87.22,41,29,27.885
00.87.22,5,29,27.885
00.87.22,36,6,5.769
00.87.22,9,6,5.769
00.87.22,6,0,0.0
00.87.22,8,2,1.923
00.87.22,4,24,23.077
00.87.23,17,0,0.0
00.87.23,10,3,1.053
00.87.23,25,9,3.158
00.87.23,12,0,0.0
00.87.23,20,1,0.351
00.87.23,26,1,0.351
00.87.23,16,3,1.053
00.87.23,21,1,0.351
00.87.23,23,2,0.702
00.87.23,3,2,0.702
00.87.23,27,0,0.0
00.87.23,41,52,18.246
00.87.23,5,107,37.544
00.87.23,36,2,0.702
00.87.23,9,24,8.421
00.87.23,6,1,0.351
00.87.23,8,10,3.509
00.87.23,4,67,23.509
00.87.24,17,1,0.256
00.87.24,10,1,0.256
00.87.24,25,3,0.767
00.87.24,12,0,0.0
00.87.24,20,0,0.0
00.87.24,26,0,0.0
00.87.24,16,3,0.767
00.87.24,21,0,0.0
00.87.24,23,7,1.79
00.87.24,3,2,0.512
00.87.24,27,0,0.0
00.87.24,41,262,67.008
00.87.24,5,85,21.739
00.87.24,36,1,0.256
00.87.24,9,11,2.813
00.87.24,6,4,1.023
00.87.24,8,1,0.256
00.87.24,4,10,2.558
00.87.25,17,2,0.321
00.87.25,10,11,1.766
00.87.25,25,73,11.717
00.87.25,12,0,0.0
00.87.25,20,1,0.161
00.87.25,26,0,0.0
00.87.25,16,9,1.445
00.87.25,21,0,0.0
00.87.25,23,1,0.161
00.87.25,3,1,0.161
00.87.25,27,2,0.321
00.87.25,41,84,13.483
00.87.25,5,103,16.533
00.87.25,36,51,8.186
00.87.25,9,89,14.286
00.87.25,6,4,0.642
00.87.25,8,15,2.408
00.87.25,4,177,28.411
00.87.26,17,1,0.138
00.87.26,10,13,1.798
00.87.26,25,75,10.373
00.87.26,12,13,1.798
00.87.26,20,3,0.415
00.87.26,26,0,0.0
00.87.26,16,1,0.138
00.87.26,21,0,0.0
00.87.26,23,0,0.0
00.87.26,3,0,0.0
00.87.26,27,3,0.415
00.87.26,41,95,13.14
00.87.26,5,188,26.003
00.87.26,36,9,1.245
00.87.26,9,69,9.544
00.87.26,6,1,0.138
00.87.26,8,12,1.66
00.87.26,4,240,33.195
00.87.27,17,1,0.172
00.87.27,10,5,0.862
00.87.27,25,29,5.0
00.87.27,12,1,0.172
00.87.27,20,1,0.172
00.87.27,26,0,0.0
00.87.27,16,12,2.069
00.87.27,21,0,0.0
00.87.27,23,2,0.345
00.87.27,3,0,0.0
00.87.27,27,2,0.345
00.87.27,41,44,7.586
00.87.27,5,145,25.0
00.87.27,36,22,3.793
00.87.27,9,85,14.655
00.87.27,6,3,0.517
00.87.27,8,17,2.931
00.87.27,4,211,36.379
00.87.28,17,0,0.0
00.87.28,10,13,1.631
00.87.28,25,57,7.152
00.87.28,12,1,0.125
00.87.28,20,5,0.627
00.87.28,26,1,0.125
00.87.28,16,20,2.509
00.87.28,21,0,0.0
00.87.28,23,0,0.0
00.87.28,3,0,0.0
00.87.28,27,7,0.878
00.87.28,41,92,11.543
00.87.28,5,263,32.999
00.87.28,36,15,1.882
00.87.28,9,69,8.657
00.87.28,6,3,0.376
00.87.28,8,23,2.886
00.87.28,4,228,28.607
00.87.29,17,1,0.094
00.87.29,10,15,1.412
00.87.29,25,75,7.062
00.87.29,12,2,0.188
00.87.29,20,1,0.094
00.87.29,26,0,0.0
00.87.29,16,14,1.318
00.87.29,21,0,0.0
00.87.29,23,0,0.0
00.87.29,3,0,0.0
00.87.29,27,0,0.0
00.87.29,41,114,10.734
00.87.29,5,250,23.54
00.87.29,36,44,4.143
00.87.29,9,132,12.429
00.87.29,6,3,0.282
00.87.29,8,32,3.013
00.87.29,4,379,35.687
00.87.30,17,0,0.0
00.87.30,10,2,0.766
00.87.30,25,15,5.747
00.87.30,12,0,0.0
00.87.30,20,0,0.0
00.87.30,26,0,0.0
00.87.30,16,6,2.299
00.87.30,21,0,0.0
00.87.30,23,0,0.0
00.87.30,3,0,0.0
00.87.30,27,1,0.383
00.87.30,41,32,12.261
00.87.30,5,47,18.008
00.87.30,36,7,2.682
00.87.30,9,61,23.372
00.87.30,6,0,0.0
00.87.30,8,0,0.0
00.87.30,4,90,34.483
00.87.31,17,0,0.0
00.87.31,10,3,1.107
00.87.31,25,23,8.487
00.87.31,12,0,0.0
00.87.31,20,1,0.369
00.87.31,26,0,0.0
00.87.31,16,4,1.476
00.87.31,21,0,0.0
00.87.31,23,0,0.0
00.87.31,3,2,0.738
00.87.31,27,1,0.369
00.87.31,41,29,10.701
00.87.31,5,86,31.734
00.87.31,36,4,1.476
00.87.31,9,24,8.856
00.87.31,6,2,0.738
00.87.31,8,11,4.059
00.87.31,4,81,29.889
00.87.32,17,0,0.0
00.87.32,10,2,1.887
00.87.32,25,21,19.811
00.87.32,12,0,0.0
00.87.32,20,0,0.0
00.87.32,26,0,0.0
00.87.32,16,0,0.0
00.87.32,21,0,0.0
00.87.32,23,0,0.0
00.87.32,3,0,0.0
00.87.32,27,0,0.0
00.87.32,41,19,17.925
00.87.32,5,14,13.208
00.87.32,36,5,4.717
00.87.32,9,14,13.208
00.87.32,6,2,1.887
00.87.32,8,1,0.943
00.87.32,4,28,26.415
00.87.33,17,0,0.0
00.87.33,10,3,1.186
00.87.33,25,30,11.858
00.87.33,12,1,0.395
00.87.33,20,0,0.0
00.87.33,26,0,0.0
00.87.33,16,2,0.791
00.87.33,21,0,0.0
00.87.33,23,0,0.0
00.87.33,3,0,0.0
00.87.33,27,1,0.395
