division_alias,party_number,votes,percent
00.16.24,4,44,5.93
00.16.25,17,1,0.122
00.16.25,10,5,0.608
00.16.25,25,25,3.038
00.16.25,12,0,0.0
00.16.25,20,1,0.122
00.16.25,26,1,0.122
00.16.25,16,2,0.243
00.16.25,21,2,0.243
00.16.25,23,1,0.122
00.16.25,3,0,0.0
00.16.25,27,1,0.122
00.16.25,41,469,56.987
00.16.25,5,118,14.338
00.16.25,36,15,1.823
00.16.25,9,75,9.113
00.16.25,6,4,0.486
00.16.25,8,55,6.683
00.16.25,4,48,5.832
00.16.26,17,0,0.0
00.16.26,10,1,0.153
00.16.26,25,66,10.092
00.16.26,12,0,0.0
00.16.26,20,2,0.306
00.16.26,26,0,0.0
00.16.26,16,3,0.459
00.16.26,21,2,0.306
00.16.26,23,0,0.0
00.16.26,3,1,0.153
00.16.26,27,1,0.153
00.16.26,41,372,56.881
00.16.26,5,92,14.067
00.16.26,36,11,1.682
00.16.26,9,58,8.869
00.16.26,6,2,0.306
00.16.26,8,14,2.141
00.16.26,4,29,4.434
00.16.27,17,0,0.0
00.16.27,10,2,0.722
00.16.27,25,14,5.054
00.16.27,12,0,0.0
00.16.27,20,0,0.0
00.16.27,26,0,0.0
00.16.27,16,0,0.0
00.16.27,21,0,0.0
00.16.27,23,0,0.0
00.16.27,3,0,0.0
00.16.27,27,1,0.361
00.16.27,41,152,54.874
00.16.27,5,34,12.274
00.16.27,36,2,0.722
00.16.27,9,36,12.996
00.16.27,6,1,0.361
00.16.27,8,14,5.054
00.16.27,4,21,7.581
00.16.28,17,1,0.227
00.16.28,10,2,0.454
00.16.28,25,4,0.907
00.16.28,12,0,0.0
00.16.28,20,0,0.0
00.16.28,26,0,0.0
00.16.28,16,1,0.227
00.16.28,21,0,0.0
00.16.28,23,0,0.0
00.16.28,3,1,0.227
00.16.28,27,1,0.227
00.16.28,41,309,70.068
00.16.28,5,47,10.658
00.16.28,36,5,1.134
00.16.28,9,34,7.71
00.16.28,6,3,0.68
00.16.28,8,13,2.948
00.16.28,4,20,4.535
00.16.29,17,0,0.0
00.16.29,10,2,0.881
00.16.29,25,1,0.441
00.16.29,12,1,0.441
00.16.29,20,0,0.0
00.16.29,26,0,0.0
00.16.29,16,0,0.0
00.16.29,21,0,0.0
00.16.29,23,0,0.0
00.16.29,3,0,0.0
00.16.29,27,0,0.0
00.16.29,41,164,72.247
00.16.29,5,30,13.216
00.16.29,36,1,0.441
00.16.29,9,16,7.048
00.16.29,6,1,0.441
00.16.29,8,5,2.203
00.16.29,4,6,2.643
00.17.01,17,5,0.53
00.17.01,10,22,2.331
00.17.01,25,47,4.979
00.17.01,12,3,0.318
00.17.01,20,0,0.0
00.17.01,26,1,0.106
00.17.01,16,12,1.271
00.17.01,21,0,0.0
00.17.01,23,0,0.0
00.17.01,3,0,0.0
00.17.01,27,1,0.106
00.17.01,41,497,52.648
00.17.01,5,83,8.792
00.17.01,36,24,2.542
00.17.01,9,116,12.288
00.17.01,6,6,0.636
00.17.01,8,24,2.542
00.17.01,4,103,10.911
00.17.02,17,1,0.127
00.17.02,10,11,1.399
00.17.02,25,40,5.089
00.17.02,12,1,0.127
00.17.02,20,1,0.127
00.17.02,26,0,0.0
00.17.02,16,5,0.636
00.17.02,21,4,0.509
00.17.02,23,2,0.254
00.17.02,3,4,0.509
00.17.02,27,1,0.127
00.17.02,41,385,48.982
00.17.02,5,81,10.305
00.17.02,36,37,4.707
00.17.02,9,95,12.087
00.17.02,6,2,0.254
00.17.02,8,34,4.326
00.17.02,4,82,10.433
00.17.03,17,0,0.0
00.17.03,10,8,1.292
00.17.03,25,35,5.654
00.17.03,12,0,0.0
00.17.03,20,2,0.323
00.17.03,26,0,0.0
00.17.03,16,5,0.808
00.17.03,21,2,0.323
00.17.03,23,2,0.323
00.17.03,3,2,0.323
00.17.03,27,0,0.0
00.17.03,41,369,59.612
00.17.03,5,38,6.139
00.17.03,36,27,4.362
00.17.03,9,61,9.855
00.17.03,6,3,0.485
00.17.03,8,15,2.423
00.17.03,4,50,8.078
00.17.04,17,0,0.0
00.17.04,10,20,2.448
00.17.04,25,65,7.956
00.17.04,12,2,0.245
00.17.04,20,0,0.0
00.17.04,26,0,0.0
00.17.04,16,8,0.979
00.17.04,21,0,0.0
00.17.04,23,0,0.0
00.17.04,3,4,0.49
00.17.04,27,1,0.122
00.17.04,41,378,46.267
00.17.04,5,90,11.016
00.17.04,36,21,2.57
00.17.04,9,116,14.198
00.17.04,6,7,0.857
00.17.04,8,36,4.406
00.17.04,4,69,8.446
00.17.05,17,1,0.1
00.17.05,10,11,1.098
00.17.05,25,67,6.687
00.17.05,12,0,0.0
00.17.05,20,6,0.599
00.17.05,26,1,0.1
00.17.05,16,10,0.998
00.17.05,21,1,0.1
00.17.05,23,1,0.1
00.17.05,3,1,0.1
00.17.05,27,0,0.0
00.17.05,41,496,49.501
00.17.05,5,116,11.577
00.17.05,36,36,3.593
00.17.05,9,104,10.379
00.17.05,6,3,0.299
00.17.05,8,25,2.495
00.17.05,4,123,12.275
00.17.06,17,2,0.15
00.17.06,10,17,1.273
00.17.06,25,77,5.768
00.17.06,12,0,0.0
00.17.06,20,2,0.15
00.17.06,26,0,0.0
00.17.06,16,12,0.899
00.17.06,21,8,0.599
00.17.06,23,0,0.0
00.17.06,3,4,0.3
00.17.06,27,1,0.075
00.17.06,41,658,49.288
00.17.06,5,166,12.434
00.17.06,36,37,2.772
00.17.06,9,143,10.712
00.17.06,6,8,0.599
00.17.06,8,47,3.521
00.17.06,4,153,11.461
00.17.07,17,4,0.338
00.17.07,10,14,1.182
00.17.07,25,66,5.574
00.17.07,12,3,0.253
00.17.07,20,2,0.169
00.17.07,26,1,0.084
00.17.07,16,11,0.929
00.17.07,21,1,0.084
00.17.07,23,1,0.084
00.17.07,3,2,0.169
00.17.07,27,4,0.338
00.17.07,41,583,49.24
00.17.07,5,145,12.247
00.17.07,36,27,2.28
00.17.07,9,145,12.247
00.17.07,6,10,0.845
00.17.07,8,35,2.956
00.17.07,4,130,10.98
00.17.08,17,1,0.109
00.17.08,10,8,0.872
00.17.08,25,54,5.889
00.17.08,12,1,0.109
00.17.08,20,1,0.109
00.17.08,26,1,0.109
00.17.08,16,7,0.763
00.17.08,21,0,0.0
00.17.08,23,0,0.0
00.17.08,3,2,0.218
00.17.08,27,1,0.109
00.17.08,41,451,49.182
00.17.08,5,169,18.43
00.17.08,36,16,1.745
00.17.08,9,83,9.051
00.17.08,6,1,0.109
00.17.08,8,33,3.599
00.17.08,4,88,9.597
00.17.09,17,0,0.0
00.17.09,10,13,0.988
00.17.09,25,101,7.675
00.17.09,12,0,0.0
00.17.09,20,3,0.228
00.17.09,26,1,0.076
00.17.09,16,5,0.38
00.17.09,21,0,0.0
00.17.09,23,2,0.152
00.17.09,3,1,0.076
00.17.09,27,0,0.0
00.17.09,41,623,47.34
00.17.09,5,234,17.781
00.17.09,36,29,2.204
00.17.09,9,150,11.398
00.17.09,6,3,0.228
00.17.09,8,30,2.28
00.17.09,4,121,9.195
00.17.10,17,1,0.115
00.17.10,10,9,1.038
00.17.10,25,54,6.228
00.17.10,12,0,0.0
00.17.10,20,1,0.115
00.17.10,26,2,0.231
00.17.10,16,11,1.269
00.17.10,21,1,0.115
00.17.10,23,0,0.0
00.17.10,3,3,0.346
00.17.10,27,1,0.115
00.17.10,41,339,39.1
00.17.10,5,166,19.146
00.17.10,36,30,3.46
00.17.10,9,113,13.033
00.17.10,6,3,0.346
00.17.10,8,26,2.999
00.17.10,4,107,12.341
00.17.11,17,0,0.0
00.17.11,10,7,1.045
00.17.11,25,32,4.776
00.17.11,12,0,0.0
00.17.11,20,1,0.149
00.17.11,26,0,0.0
00.17.11,16,9,1.343
00.17.11,21,2,0.299
00.17.11,23,0,0.0
00.17.11,3,0,0.0
00.17.11,27,2,0.299
00.17.11,41,338,50.448
00.17.11,5,90,13.433
00.17.11,36,13,1.94
00.17.11,9,70,10.448
00.17.11,6,3,0.448
00.17.11,8,18,2.687
00.17.11,4,85,12.687
00.17.12,17,2,0.208
00.17.12,10,16,1.661
00.17.12,25,77,7.996
00.17.12,12,0,0.0
00.17.12,20,0,0.0
00.17.12,26,0,0.0
00.17.12,16,6,0.623
00.17.12,21,1,0.104
00.17.12,23,0,0.0
00.17.12,3,0,0.0
00.17.12,27,1,0.104
00.17.12,41,420,43.614
00.17.12,5,125,12.98
00.17.12,36,33,3.427
00.17.12,9,109,11.319
00.17.12,6,3,0.312
00.17.12,8,42,4.361
00.17.12,4,128,13.292
00.17.13,17,1,0.103
00.17.13,10,5,0.515
00.17.13,25,28,2.884
00.17.13,12,0,0.0
00.17.13,20,1,0.103
00.17.13,26,0,0.0
00.17.13,16,9,0.927
00.17.13,21,0,0.0
00.17.13,23,0,0.0
00.17.13,3,7,0.721
00.17.13,27,3,0.309
00.17.13,41,558,57.467
00.17.13,5,129,13.285
00.17.13,36,29,2.987
00.17.13,9,80,8.239
00.17.13,6,1,0.103
00.17.13,8,52,5.355
00.17.13,4,68,7.003
00.17.14,17,1,0.172
00.17.14,10,3,0.515
00.17.14,25,19,3.265
00.17.14,12,0,0.0
00.17.14,20,1,0.172
00.17.14,26,0,0.0
00.17.14,16,3,0.515
00.17.14,21,0,0.0
00.17.14,23,0,0.0
00.17.14,3,0,0.0
00.17.14,27,1,0.172
00.17.14,41,347,59.622
00.17.14,5,60,10.309
00.17.14,36,11,1.89
00.17.14,9,51,8.763
00.17.14,6,2,0.344
00.17.14,8,34,5.842
00.17.14,4,49,8.419
00.17.15,17,0,0.0
00.17.15,10,3,0.459
00.17.15,25,21,3.216
00.17.15,12,0,0.0
00.17.15,20,1,0.153
00.17.15,26,1,0.153
00.17.15,16,3,0.459
00.17.15,21,0,0.0
00.17.15,23,0,0.0
00.17.15,3,0,0.0
00.17.15,27,1,0.153
00.17.15,41,412,63.093
00.17.15,5,96,14.701
00.17.15,36,11,1.685
00.17.15,9,58,8.882
00.17.15,6,1,0.153
00.17.15,8,15,2.297
00.17.15,4,30,4.594
00.17.16,17,1,0.149
00.17.16,10,3,0.446
00.17.16,25,24,3.571
00.17.16,12,0,0.0
00.17.16,20,1,0.149
00.17.16,26,0,0.0
00.17.16,16,2,0.298
00.17.16,21,0,0.0
00.17.16,23,0,0.0
00.17.16,3,3,0.446
00.17.16,27,3,0.446
00.17.16,41,399,59.375
00.17.16,5,89,13.244
00.17.16,36,9,1.339
00.17.16,9,67,9.97
00.17.16,6,3,0.446
00.17.16,8,21,3.125
00.17.16,4,47,6.994
00.17.17,17,1,0.16
00.17.17,10,2,0.32
00.17.17,25,20,3.2
00.17.17,12,1,0.16
00.17.17,20,0,0.0
00.17.17,26,0,0.0
00.17.17,16,1,0.16
00.17.17,21,1,0.16
00.17.17,23,0,0.0
00.17.17,3,1,0.16
00.17.17,27,1,0.16
00.17.17,41,362,57.92
00.17.17,5,71,11.36
00.17.17,36,19,3.04
00.17.17,9,65,10.4
00.17.17,6,3,0.48
00.17.17,8,21,3.36
00.17.17,4,56,8.96
00.17.18,17,0,0.0
00.17.18,10,6,0.648
00.17.18,25,49,5.292
00.17.18,12,1,0.108
00.17.18,20,0,0.0
00.17.18,26,1,0.108
00.17.18,16,6,0.648
00.17.18,21,0,0.0
00.17.18,23,0,0.0
00.17.18,3,3,0.324
00.17.18,27,2,0.216
00.17.18,41,466,50.324
00.17.18,5,148,15.983
00.17.18,36,23,2.484
00.17.18,9,91,9.827
00.17.18,6,13,1.404
00.17.18,8,28,3.024
00.17.18,4,89,9.611
00.17.19,17,2,0.185
00.17.19,10,8,0.739
00.17.19,25,38,3.512
00.17.19,12,0,0.0
00.17.19,20,2,0.185
00.17.19,26,1,0.092
00.17.19,16,6,0.555
00.17.19,21,1,0.092
00.17.19,23,0,0.0
00.17.19,3,1,0.092
00.17.19,27,1,0.092
00.17.19,41,683,63.124
00.17.19,5,129,11.922
00.17.19,36,4,0.37
00.17.19,9,99,9.15
00.17.19,6,7,0.647
00.17.19,8,37,3.42
00.17.19,4,63,5.823
00.17.20,17,0,0.0
00.17.20,10,7,0.646
00.17.20,25,57,5.263
00.17.20,12,1,0.092
00.17.20,20,2,0.185
00.17.20,26,0,0.0
00.17.20,16,5,0.462
00.17.20,21,1,0.092
00.17.20,23,0,0.0
00.17.20,3,2,0.185
00.17.20,27,3,0.277
00.17.20,41,586,54.109
00.17.20,5,196,18.098
00.17.20,36,11,1.016
00.17.20,9,90,8.31
00.17.20,6,7,0.646
00.17.20,8,23,2.124
00.17.20,4,92,8.495
00.17.21,17,0,0.0
00.17.21,10,2,0.676
00.17.21,25,5,1.689
00.17.21,12,1,0.338
00.17.21,20,1,0.338
00.17.21,26,0,0.0
00.17.21,16,2,0.676
00.17.21,21,0,0.0
00.17.21,23,0,0.0
00.17.21,3,0,0.0
00.17.21,27,0,0.0
00.17.21,41,206,69.595
00.17.21,5,34,11.486
00.17.21,36,2,0.676
00.17.21,9,18,6.081
00.17.21,6,0,0.0
00.17.21,8,2,0.676
00.17.21,4,23,7.77
00.17.22,17,0,0.0
00.17.22,10,11,0.924
00.17.22,25,56,4.706
00.17.22,12,1,0.084
00.17.22,20,2,0.168
00.17.22,26,0,0.0
00.17.22,16,4,0.336
00.17.22,21,0,0.0
00.17.22,23,1,0.084
00.17.22,3,2,0.168
00.17.22,27,4,0.336
00.17.22,41,628,52.773
00.17.22,5,161,13.529
00.17.22,36,18,1.513
00.17.22,9,123,10.336
00.17.22,6,5,0.42
00.17.22,8,36,3.025
00.17.22,4,138,11.597
00.17.23,17,2,0.164
00.17.23,10,9,0.74
00.17.23,25,42,3.451
00.17.23,12,0,0.0
00.17.23,20,2,0.164
00.17.23,26,1,0.082
00.17.23,16,9,0.74
00.17.23,21,2,0.164
00.17.23,23,0,0.0
00.17.23,3,1,0.082
00.17.23,27,3,0.247
00.17.23,41,539,44.289
00.17.23,5,309,25.39
00.17.23,36,23,1.89
00.17.23,9,106,8.71
00.17.23,6,7,0.575
00.17.23,8,45,3.698
00.17.23,4,117,9.614
00.17.24,17,0,0.0
00.17.24,10,7,0.84
00.17.24,25,30,3.601
00.17.24,12,1,0.12
00.17.24,20,2,0.24
00.17.24,26,0,0.0
00.17.24,16,13,1.561
00.17.24,21,0,0.0
00.17.24,23,0,0.0
00.17.24,3,1,0.12
00.17.24,27,0,0.0
00.17.24,41,344,41.297
00.17.24,5,264,31.693
00.17.24,36,10,1.2
00.17.24,9,83,9.964
00.17.24,6,4,0.48
00.17.24,8,15,1.801
00.17.24,4,59,7.083
00.17.25,17,0,0.0
00.17.25,10,0,0.0
00.17.25,25,11,6.011
00.17.25,12,0,0.0
00.17.25,20,0,0.0
00.17.25,26,0,0.0
00.17.25,16,1,0.546
00.17.25,21,0,0.0
00.17.25,23,0,0.0
00.17.25,3,0,0.0
00.17.25,27,0,0.0
00.17.25,41,109,59.563
00.17.25,5,25,13.661
00.17.25,36,11,6.011
00.17.25,9,10,5.464
00.17.25,6,0,0.0
00.17.25,8,10,5.464
00.17.25,4,6,3.279
00.17.26,17,2,0.299
00.17.26,10,3,0.449
00.17.26,25,28,4.192
00.17.26,12,3,0.449
00.17.26,20,1,0.15
00.17.26,26,1,0.15
00.17.26,16,9,1.347
00.17.26,21,1,0.15
00.17.26,23,1,0.15
00.17.26,3,1,0.15
00.17.26,27,1,0.15
00.17.26,41,342,51.198
00.17.26,5,149,22.305
00.17.26,36,9,1.347
00.17.26,9,35,5.24
00.17.26,6,4,0.599
00.17.26,8,33,4.94
00.17.26,4,45,6.737
00.17.27,17,0,0.0
00.17.27,10,8,1.039
00.17.27,25,43,5.584
00.17.27,12,1,0.13
00.17.27,20,1,0.13
00.17.27,26,0,0.0
00.17.27,16,9,1.169
00.17.27,21,0,0.0
00.17.27,23,0,0.0
00.17.27,3,2,0.26
00.17.27,27,0,0.0
00.17.27,41,412,53.506
00.17.27,5,104,13.506
00.17.27,36,16,2.078
00.17.27,9,84,10.909
00.17.27,6,6,0.779
00.17.27,8,32,4.156
00.17.27,4,52,6.753
00.17.28,17,0,0.0
00.17.28,10,7,0.903
00.17.28,25,31,4.0
00.17.28,12,0,0.0
00.17.28,20,0,0.0
00.17.28,26,0,0.0
00.17.28,16,6,0.774
00.17.28,21,0,0.0
00.17.28,23,1,0.129
00.17.28,3,5,0.645
00.17.28,27,2,0.258
00.17.28,41,415,53.548
00.17.28,5,116,14.968
00.17.28,36,19,2.452
00.17.28,9,58,7.484
00.17.28,6,1,0.129
00.17.28,8,19,2.452
00.17.28,4,95,12.258
00.17.29,17,0,0.0
00.17.29,10,2,0.321
00.17.29,25,3,0.482
00.17.29,12,0,0.0
00.17.29,20,0,0.0
00.17.29,26,0,0.0
00.17.29,16,2,0.321
00.17.29,21,1,0.161
00.17.29,23,0,0.0
00.17.29,3,0,0.0
00.17.29,27,0,0.0
00.17.29,41,539,86.517
00.17.29,5,56,8.989
00.17.29,36,0,0.0
00.17.29,9,6,0.963
00.17.29,6,2,0.321
00.17.29,8,4,0.642
00.17.29,4,8,1.284
00.17.30,17,0,0.0
00.17.30,10,3,0.515
00.17.30,25,2,0.344
00.17.30,12,0,0.0
00.17.30,20,0,0.0
00.17.30,26,1,0.172
00.17.30,16,0,0.0
00.17.30,21,0,0.0
00.17.30,23,0,0.0
00.17.30,3,0,0.0
00.17.30,27,1,0.172
00.17.30,41,506,86.942
00.17.30,5,59,10.137
00.17.30,36,1,0.172
00.17.30,9,2,0.344
00.17.30,6,0,0.0
00.17.30,8,2,0.344
00.17.30,4,5,0.859
00.17.31,17,0,0.0
00.17.31,10,1,0.189
00.17.31,25,3,0.567
00.17.31,12,0,0.0
00.17.31,20,0,0.0
00.17.31,26,0,0.0
00.17.31,16,0,0.0
00.17.31,21,0,0.0
00.17.31,23,0,0.0
00.17.31,3,0,0.0
00.17.31,27,1,0.189
00.17.31,41,454,85.822
00.17.31,5,58,10.964
00.17.31,36,0,0.0
00.17.31,9,4,0.756
00.17.31,6,1,0.189
00.17.31,8,4,0.756
00.17.31,4,3,0.567
00.17.32,17,0,0.0
00.17.32,10,0,0.0
00.17.32,25,3,0.467
00.17.32,12,0,0.0
00.17.32,20,0,0.0
00.17.32,26,0,0.0
00.17.32,16,0,0.0
00.17.32,21,0,0.0
00.17.32,23,0,0.0
00.17.32,3,2,0.312
00.17.32,27,2,0.312
00.17.32,41,585,91.121
00.17.32,5,42,6.542
00.17.32,36,1,0.156
00.17.32,9,2,0.312
00.17.32,6,2,0.312
00.17.32,8,1,0.156
00.17.32,4,2,0.312
00.17.33,17,2,0.14
00.17.33,10,9,0.628
00.17.33,25,74,5.164
00.17.33,12,0,0.0
00.17.33,20,1,0.07
00.17.33,26,0,0.0
00.17.33,16,11,0.768
00.17.33,21,0,0.0
00.17.33,23,0,0.0
00.17.33,3,1,0.07
00.17.33,27,1,0.07
00.17.33,41,802,55.967
00.17.33,5,276,19.26
00.17.33,36,23,1.605
00.17.33,9,98,6.839
00.17.33,6,8,0.558
00.17.33,8,37,2.582
00.17.33,4,90,6.281
00.17.34,17,0,0.0
00.17.34,10,10,0.822
00.17.34,25,53,4.355
00.17.34,12,1,0.082
00.17.34,20,0,0.0
00.17.34,26,0,0.0
00.17.34,16,8,0.657
00.17.34,21,4,0.329
00.17.34,23,0,0.0
00.17.34,3,5,0.411
00.17.34,27,1,0.082
00.17.34,41,659,54.15
00.17.34,5,233,19.145
00.17.34,36,27,2.219
00.17.34,9,72,5.916
00.17.34,6,4,0.329
00.17.34,8,28,2.301
00.17.34,4,112,9.203
00.17.35,17,0,0.0
00.17.35,10,2,0.394
00.17.35,25,19,3.748
00.17.35,12,0,0.0
00.17.35,20,2,0.394
00.17.35,26,1,0.197
00.17.35,16,2,0.394
00.17.35,21,0,0.0
00.17.35,23,2,0.394
00.17.35,3,1,0.197
00.17.35,27,1,0.197
00.17.35,41,272,53.649
00.17.35,5,111,21.893
00.17.35,36,5,0.986
00.17.35,9,37,7.298
00.17.35,6,0,0.0
00.17.35,8,26,5.128
00.17.35,4,26,5.128
00.17.36,17,3,0.511
00.17.36,10,4,0.681
00.17.36,25,26,4.429
00.17.36,12,0,0.0
00.17.36,20,3,0.511
00.17.36,26,0,0.0
00.17.36,16,3,0.511
00.17.36,21,0,0.0
00.17.36,23,1,0.17
00.17.36,3,1,0.17
00.17.36,27,0,0.0
00.17.36,41,307,52.3
00.17.36,5,132,22.487
00.17.36,36,12,2.044
00.17.36,9,48,8.177
00.17.36,6,4,0.681
00.17.36,8,18,3.066
00.17.36,4,25,4.259
00.17.37,17,0,0.0
00.17.37,10,4,1.153
00.17.37,25,15,4.323
00.17.37,12,0,0.0
00.17.37,20,2,0.576
00.17.37,26,2,0.576
00.17.37,16,1,0.288
00.17.37,21,0,0.0
00.17.37,23,0,0.0
00.17.37,3,0,0.0
00.17.37,27,1,0.288
00.17.37,41,215,61.96
00.17.37,5,33,9.51
00.17.37,36,4,1.153
00.17.37,9,27,7.781
00.17.37,6,1,0.288
00.17.37,8,25,7.205
00.17.37,4,17,4.899
00.17.38,17,0,0.0
00.17.38,10,2,0.423
00.17.38,25,15,3.171
00.17.38,12,0,0.0
00.17.38,20,1,0.211
00.17.38,26,0,0.0
00.17.38,16,5,1.057
00.17.38,21,0,0.0
00.17.38,23,0,0.0
00.17.38,3,1,0.211
00.17.38,27,1,0.211
00.17.38,41,285,60.254
00.17.38,5,84,17.759
00.17.38,36,5,1.057
00.17.38,9,34,7.188
00.17.38,6,0,0.0
00.17.38,8,8,1.691
00.17.38,4,32,6.765
00.17.39,17,0,0.0
00.17.39,10,2,0.417
00.17.39,25,23,4.792
00.17.39,12,0,0.0
00.17.39,20,0,0.0
00.17.39,26,0,0.0
00.17.39,16,0,0.0
00.17.39,21,0,0.0
00.17.39,23,0,0.0
00.17.39,3,0,0.0
00.17.39,27,0,0.0
00.17.39,41,276,57.5
00.17.39,5,89,18.542
00.17.39,36,6,1.25
00.17.39,9,48,10.0
00.17.39,6,1,0.208
00.17.39,8,8,1.667
00.17.39,4,27,5.625
00.17.40,17,0,0.0
00.17.40,10,0,0.0
00.17.40,25,1,1.429
00.17.40,12,0,0.0
00.17.40,20,0,0.0
00.17.40,26,0,0.0
00.17.40,16,0,0.0
00.17.40,21,1,1.429
00.17.40,23,0,0.0
00.17.40,3,0,0.0
00.17.40,27,0,0.0
00.17.40,41,56,80.0
00.17.40,5,6,8.571
00.17.40,36,0,0.0
00.17.40,9,4,5.714
00.17.40,6,0,0.0
00.17.40,8,2,2.857
00.17.40,4,0,0.0
00.17.41,17,1,0.117
00.17.41,10,4,0.466
00.17.41,25,40,4.662
00.17.41,12,1,0.117
00.17.41,20,0,0.0
00.17.41,26,1,0.117
00.17.41,16,5,0.583
00.17.41,21,1,0.117
00.17.41,23,1,0.117
00.17.41,3,1,0.117
00.17.41,27,1,0.117
00.17.41,41,437,50.932
00.17.41,5,222,25.874
00.17.41,36,11,1.282
00.17.41,9,75,8.741
00.17.41,6,5,0.583
00.17.41,8,21,2.448
00.17.41,4,31,3.613
00.17.42,17,0,0.0
00.17.42,10,0,0.0
00.17.42,25,3,4.412
00.17.42,12,0,0.0
00.17.42,20,0,0.0
00.17.42,26,0,0.0
00.17.42,16,0,0.0
00.17.42,21,1,1.471
00.17.42,23,0,0.0
00.17.42,3,0,0.0
00.17.42,27,0,0.0
00.17.42,41,40,58.824
00.17.42,5,16,23.529
00.17.42,36,0,0.0
00.17.42,9,5,7.353
00.17.42,6,0,0.0
00.17.42,8,0,0.0
00.17.42,4,3,4.412
00.17.43,17,0,0.0
00.17.43,10,1,0.326
00.17.43,25,22,7.166
00.17.43,12,0,0.0
00.17.43,20,2,0.651
00.17.43,26,0,0.0
00.17.43,16,2,0.651
00.17.43,21,1,0.326
00.17.43,23,0,0.0
00.17.43,3,0,0.0
00.17.43,27,0,0.0
00.17.43,41,134,43.648
00.17.43,5,84,27.362
00.17.43,36,3,0.977
00.17.43,9,21,6.84
00.17.43,6,0,0.0
00.17.43,8,10,3.257
00.17.43,4,27,8.795
00.18.01,17,1,0.108
00.18.01,10,8,0.865
00.18.01,25,40,4.324
00.18.01,12,1,0.108
00.18.01,20,2,0.216
00.18.01,26,1,0.108
00.18.01,16,3,0.324
00.18.01,21,0,0.0
00.18.01,23,0,0.0
00.18.01,3,3,0.324
00.18.01,27,4,0.432
00.18.01,41,558,60.324
00.18.01,5,98,10.595
00.18.01,36,8,0.865
00.18.01,9,55,5.946
00.18.01,6,4,0.432
00.18.01,8,20,2.162
00.18.01,4,119,12.865
00.18.02,17,1,0.128
00.18.02,10,8,1.022
00.18.02,25,36,4.598
00.18.02,12,1,0.128
00.18.02,20,1,0.128
00.18.02,26,1,0.128
00.18.02,16,1,0.128
00.18.02,21,0,0.0
00.18.02,23,0,0.0
00.18.02,3,1,0.128
00.18.02,27,2,0.255
00.18.02,41,459,58.621
00.18.02,5,119,15.198
00.18.02,36,19,2.427
00.18.02,9,71,9.068
00.18.02,6,0,0.0
00.18.02,8,21,2.682
00.18.02,4,42,5.364
00.18.03,17,1,0.079
00.18.03,10,11,0.868
00.18.03,25,67,5.284
00.18.03,12,0,0.0
00.18.03,20,2,0.158
00.18.03,26,0,0.0
00.18.03,16,5,0.394
00.18.03,21,0,0.0
00.18.03,23,3,0.237
00.18.03,3,3,0.237
00.18.03,27,2,0.158
00.18.03,41,756,59.621
00.18.03,5,161,12.697
00.18.03,36,24,1.893
00.18.03,9,86,6.782
00.18.03,6,6,0.473
00.18.03,8,40,3.155
00.18.03,4,101,7.965
00.18.04,17,1,0.114
00.18.04,10,2,0.228
00.18.04,25,11,1.251
00.18.04,12,0,0.0
00.18.04,20,2,0.228
00.18.04,26,0,0.0
00.18.04,16,0,0.0
00.18.04,21,2,0.228
00.18.04,23,1,0.114
00.18.04,3,0,0.0
00.18.04,27,1,0.114
00.18.04,41,703,79.977
00.18.04,5,53,6.03
00.18.04,36,3,0.341
00.18.04,9,30,3.413
00.18.04,6,13,1.479
00.18.04,8,1,0.114
00.18.04,4,56,6.371
00.18.05,17,1,0.087
00.18.05,10,8,0.7
00.18.05,25,69,6.037
00.18.05,12,0,0.0
00.18.05,20,4,0.35
00.18.05,26,1,0.087
00.18.05,16,19,1.662
00.18.05,21,3,0.262
00.18.05,23,1,0.087
00.18.05,3,1,0.087
00.18.05,27,1,0.087
00.18.05,41,504,44.094
00.18.05,5,155,13.561
00.18.05,36,60,5.249
00.18.05,9,88,7.699
00.18.05,6,4,0.35
00.18.05,8,49,4.287
00.18.05,4,175,15.311
00.18.06,17,1,0.176
00.18.06,10,2,0.352
00.18.06,25,28,4.93
00.18.06,12,0,0.0
00.18.06,20,2,0.352
00.18.06,26,0,0.0
00.18.06,16,5,0.88
00.18.06,21,0,0.0
00.18.06,23,0,0.0
00.18.06,3,1,0.176
00.18.06,27,1,0.176
00.18.06,41,224,39.437
00.18.06,5,101,17.782
00.18.06,36,14,2.465
00.18.06,9,44,7.746
00.18.06,6,1,0.176
00.18.06,8,33,5.81
00.18.06,4,111,19.542
00.18.07,17,0,0.0
00.18.07,10,0,0.0
00.18.07,25,4,1.802
00.18.07,12,0,0.0
00.18.07,20,0,0.0
00.18.07,26,0,0.0
00.18.07,16,0,0.0
00.18.07,21,1,0.45
00.18.07,23,0,0.0
00.18.07,3,1,0.45
00.18.07,27,1,0.45
00.18.07,41,164,73.874
00.18.07,5,16,7.207
00.18.07,36,2,0.901
00.18.07,9,8,3.604
00.18.07,6,2,0.901
00.18.07,8,1,0.45
00.18.07,4,22,9.91
00.18.08,17,2,0.266
00.18.08,10,3,0.399
00.18.08,25,29,3.856
00.18.08,12,0,0.0
00.18.08,20,3,0.399
00.18.08,26,0,0.0
00.18.08,16,3,0.399
